homolog_id	family	status	tree_decision	protein_file	cds_file
SIX1_GCA_003315725.1_copy1	SIX1	truncated	exclude_primary_tree_retain_homolog_record	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_003315725.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_003315725.1_copy1.fasta
SIX1_GCA_003315725.1_copy2	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_003315725.1_copy2.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_003315725.1_copy2.fasta
SIX1_GCA_003977725.1_copy1	SIX1	truncated	exclude_primary_tree_retain_homolog_record	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_003977725.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_003977725.1_copy1.fasta
SIX1_GCA_003977725.1_copy2	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_003977725.1_copy2.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_003977725.1_copy2.fasta
SIX1_GCA_013423245.1_copy1	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_013423245.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_013423245.1_copy1.fasta
SIX1_GCA_014857105.1_copy1	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_014857105.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_014857105.1_copy1.fasta
SIX1_GCA_016164145.2_copy4	SIX1	pseudogenized	exclude_primary_tree_retain_homolog_record	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_016164145.2_copy4.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_016164145.2_copy4.fasta
SIX1_GCA_016166325.2_copy1	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_016166325.2_copy1.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_016166325.2_copy1.fasta
SIX1_GCA_016166325.2_copy2	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_016166325.2_copy2.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_016166325.2_copy2.fasta
SIX1_GCA_016166325.2_copy3	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_016166325.2_copy3.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_016166325.2_copy3.fasta
SIX1_GCA_030345115.2_copy1	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_030345115.2_copy1.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_030345115.2_copy1.fasta
SIX1_GCA_031834405.1_copy1	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_031834405.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_031834405.1_copy1.fasta
SIX1_GCA_031834405.1_copy2	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_031834405.1_copy2.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_031834405.1_copy2.fasta
SIX1_GCA_031834405.1_copy3	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_031834405.1_copy3.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_031834405.1_copy3.fasta
SIX1_GCA_032206225.1_copy1	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_032206225.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_032206225.1_copy1.fasta
SIX1_GCA_053754955.2_copy2	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_053754955.2_copy2.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_053754955.2_copy2.fasta
SIX1_GCA_053754965.2_copy1	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_053754965.2_copy1.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_053754965.2_copy1.fasta
SIX1_GCA_053754965.2_copy2	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_053754965.2_copy2.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_053754965.2_copy2.fasta
SIX1_GCA_053754965.2_copy3	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_053754965.2_copy3.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_053754965.2_copy3.fasta
SIX1_GCA_054130785.1_copy1	SIX1	truncated	exclude_primary_tree_retain_homolog_record	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_054130785.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_054130785.1_copy1.fasta
SIX1_GCA_054130785.1_copy2	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_054130785.1_copy2.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_054130785.1_copy2.fasta
SIX3_GCA_003315725.1_copy1	SIX3	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX3/SIX3_GCA_003315725.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX3/SIX3_GCA_003315725.1_copy1.fasta
SIX3_GCA_003615085.1_copy1	SIX3	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX3/SIX3_GCA_003615085.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX3/SIX3_GCA_003615085.1_copy1.fasta
SIX3_GCA_003977725.1_copy1	SIX3	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX3/SIX3_GCA_003977725.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX3/SIX3_GCA_003977725.1_copy1.fasta
SIX5_GCA_003315725.1_copy1	SIX5	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX5/SIX5_GCA_003315725.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX5/SIX5_GCA_003315725.1_copy1.fasta
SIX5_GCA_003977725.1_copy1	SIX5	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX5/SIX5_GCA_003977725.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX5/SIX5_GCA_003977725.1_copy1.fasta
SIX7_GCA_003315725.1_copy1	SIX7	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX7/SIX7_GCA_003315725.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX7/SIX7_GCA_003315725.1_copy1.fasta
SIX7_GCA_003615085.1_copy1	SIX7	pseudogenized	exclude_primary_tree_retain_homolog_record	results/six_homologs/classified/translated_proteins/SIX7/SIX7_GCA_003615085.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX7/SIX7_GCA_003615085.1_copy1.fasta
SIX7_GCA_003977725.1_copy1	SIX7	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX7/SIX7_GCA_003977725.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX7/SIX7_GCA_003977725.1_copy1.fasta
SIX7_GCA_013423245.1_copy1	SIX7	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX7/SIX7_GCA_013423245.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX7/SIX7_GCA_013423245.1_copy1.fasta
SIX7_GCA_013423245.1_copy2	SIX7	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX7/SIX7_GCA_013423245.1_copy2.faa	results/six_homologs/classified/nt_sequences/SIX7/SIX7_GCA_013423245.1_copy2.fasta
SIX7_GCA_013423245.1_copy3	SIX7	truncated	exclude_primary_tree_retain_homolog_record	results/six_homologs/classified/translated_proteins/SIX7/SIX7_GCA_013423245.1_copy3.faa	results/six_homologs/classified/nt_sequences/SIX7/SIX7_GCA_013423245.1_copy3.fasta
SIX7_GCA_013423245.1_copy4	SIX7	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX7/SIX7_GCA_013423245.1_copy4.faa	results/six_homologs/classified/nt_sequences/SIX7/SIX7_GCA_013423245.1_copy4.fasta
SIX1_GCA_016164145.2_copy2	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_016164145.2_copy2.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_016164145.2_copy2.fasta
SIX1_GCA_016164145.2_copy3	SIX1	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_016164145.2_copy3.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_016164145.2_copy3.fasta
SIX1_GCA_053754955.2_copy1	SIX1	pseudogenized	exclude_primary_tree_retain_homolog_record	results/six_homologs/classified/translated_proteins/SIX1/SIX1_GCA_053754955.2_copy1.faa	results/six_homologs/classified/nt_sequences/SIX1/SIX1_GCA_053754955.2_copy1.fasta
