genome	og	contig	start	end	strand	identity	coverage
GCA_003315725.1	105695at5125	CM010338.1	3247146	3261458	+	0.9963	1.000
GCA_003315725.1	10572at5125	CM010341.1	1545590	1546288	+	0.9914	1.000
GCA_003315725.1	105776at5125	CM010342.1	1822776	1824645	-	0.9983	1.000
GCA_003315725.1	105939at5125	CM010340.1	1864988	1866968	+	1.0	1.000
GCA_003315725.1	106128at5125	CM010335.1	2878856	2881855	-	0.998	1.000
GCA_003315725.1	106152at5125	CM010338.1	821593	825300	-	0.9975	0.999
GCA_003315725.1	106221at5125	CM010341.1	937873	940310	-	1.0	1.000
GCA_003315725.1	106310at5125	CM010342.1	1215078	1221752	-	0.9951	1.000
GCA_003315725.1	106359at5125	CM010337.1	1134424	1136437	-	0.9969	1.000
GCA_003315725.1	106422at5125	CM010336.1	2425530	2427257	-	0.9962	1.000
GCA_003315725.1	106494at5125	CM010342.1	1974185	1975798	-	0.9942	1.000
GCA_003315725.1	106566at5125	CM010340.1	2850284	2852247	+	0.9983	1.000
GCA_003315725.1	106728at5125	CM010341.1	992994	994735	+	1.0	1.000
GCA_003315725.1	106881at5125	CM010338.1	1890260	1896736	-	0.9951	1.000
GCA_003315725.1	106933at5125	CM010338.1	2654976	2656447	-	1.0	1.000
GCA_003315725.1	106941at5125	CM010335.1	1690834	1698637	+	0.9979	1.000
GCA_003315725.1	106967at5125	CM010338.1	3727632	3728401	+	1.0	1.000
GCA_003315725.1	107077at5125	CM010336.1	2891371	2894621	+	0.9971	1.000
GCA_003315725.1	107152at5125	CM010338.1	3002969	3005244	-	0.9945	1.000
GCA_003315725.1	107223at5125	CM010341.1	543777	544178	-	0.9699	1.000
GCA_003315725.1	107275at5125	CM010336.1	3580670	3581982	-	0.9976	1.000
GCA_003315725.1	107302at5125	CM010335.1	4141232	4143986	+	0.9967	1.000
GCA_003315725.1	10731at5125	CM010336.1	3117547	3118005	-	1.0	1.000
GCA_003315725.1	107397at5125	CM010340.1	2053123	2055390	-	0.9973	1.000
GCA_003315725.1	107412at5125	CM010338.1	2500503	2502214	+	0.9907	1.000
GCA_003315725.1	107539at5125	CM010336.1	2547143	2549827	-	0.9966	1.000
GCA_003315725.1	107670at5125	CM010337.1	2154732	2157660	-	0.9928	1.000
GCA_003315725.1	107762at5125	CM010337.1	3667515	3668567	+	0.9886	1.000
GCA_003315725.1	107805at5125	CM010335.1	3502563	3505299	+	1.0	1.000
GCA_003315725.1	107837at5125	CM010335.1	3725305	3726946	-	0.9943	1.000
GCA_003315725.1	107842at5125	CM010339.1	1477826	1478830	-	0.9934	0.978
GCA_003315725.1	107962at5125	CM010335.1	3233779	3235083	+	1.0	1.000
GCA_003315725.1	108018at5125	CM010335.1	3490706	3491862	+	1.0	1.000
GCA_003315725.1	108043at5125	CM010340.1	2059517	2060368	+	0.9965	1.000
GCA_003315725.1	108096at5125	CM010336.1	3660744	3663154	-	0.9936	1.000
GCA_003315725.1	108323at5125	CM010340.1	1879606	1880594	+	0.9935	1.000
GCA_003315725.1	108705at5125	CM010337.1	1101278	1101784	+	1.0	1.000
GCA_003315725.1	108906at5125	CM010339.1	3012648	3023255	+	0.9928	1.000
GCA_003315725.1	108912at5125	CM010338.1	1427756	1430603	+	0.9989	1.000
GCA_003315725.1	109234at5125	CM010337.1	2117478	2119576	+	0.9984	1.000
GCA_003315725.1	109291at5125	CM010340.1	1675258	1676879	-	0.9921	1.000
GCA_003315725.1	109348at5125	CM010336.1	3919695	3920755	-	0.997	1.000
GCA_003315725.1	109388at5125	CM010340.1	3049338	3052130	-	0.9941	1.000
GCA_003315725.1	109405at5125	CM010342.1	967983	975651	+	0.9982	1.000
GCA_003315725.1	109489at5125	CM010337.1	1060342	1062369	+	0.9973	1.000
GCA_003315725.1	109588at5125	CM010340.1	2412614	2414637	+	0.9951	1.000
GCA_003315725.1	109622at5125	CM010338.1	1269147	1270225	+	1.0	1.000
GCA_003315725.1	109683at5125	CM010335.1	4251971	4254436	+	0.9963	1.000
GCA_003315725.1	109748at5125	CM010338.1	2652378	2653436	+	0.9972	1.000
GCA_003315725.1	109749at5125	CM010341.1	2775056	2777236	-	0.9932	1.000
GCA_003315725.1	109787at5125	CM010339.1	3854225	3855418	+	0.9842	1.000
GCA_003315725.1	109995at5125	CM010337.1	1537771	1540305	+	0.9987	1.000
GCA_003315725.1	110213at5125	CM010338.1	1587586	1588761	+	0.9946	1.000
GCA_003315725.1	110350at5125	CM010340.1	3369859	3370986	+	0.9944	1.000
GCA_003315725.1	110477at5125	CM010341.1	2618771	2619719	-	0.9387	1.000
GCA_003315725.1	110553at5125	CM010335.1	3598576	3599831	-	1.0	1.000
GCA_003315725.1	110607at5125	CM010337.1	2491286	2494401	+	0.9961	1.000
GCA_003315725.1	110706at5125	CM010339.1	2569969	2570700	-	1.0	1.000
GCA_003315725.1	110760at5125	CM010337.1	3955925	3958321	+	0.9987	1.000
GCA_003315725.1	111006at5125	CM010338.1	1524783	1526679	+	0.9943	1.000
GCA_003315725.1	111022at5125	CM010341.1	504120	504572	-	0.9867	1.000
GCA_003315725.1	111121at5125	CM010336.1	1122727	1123938	-	1.0	1.000
GCA_003315725.1	111141at5125	CM010340.1	1088737	1089482	+	0.9936	1.000
GCA_003315725.1	111250at5125	CM010341.1	2124324	2125091	-	0.9882	1.000
GCA_003315725.1	111256at5125	CM010335.1	1254847	1257481	-	0.9976	1.000
GCA_003315725.1	111448at5125	CM010336.1	4634110	4636288	-	0.9986	1.000
GCA_003315725.1	111472at5125	CM010337.1	2243543	2243953	-	1.0	1.000
GCA_003315725.1	111530at5125	CM010338.1	1128940	1130260	-	0.9893	1.000
GCA_003315725.1	111633at5125	CM010335.1	3755846	3757111	+	0.9929	1.000
GCA_003315725.1	111734at5125	CM010337.1	793929	795614	+	0.9908	1.000
GCA_003315725.1	111745at5125	CM010335.1	2671447	2676366	-	1.0	1.000
GCA_003315725.1	111793at5125	CM010339.1	749299	750185	+	1.0	1.000
GCA_003315725.1	111814at5125	CM010338.1	3605138	3610162	+	0.9945	1.000
GCA_003315725.1	111824at5125	CM010338.1	2106058	2107811	+	1.0	1.000
GCA_003315725.1	111974at5125	CM010338.1	2787072	2787932	+	0.984	1.000
GCA_003315725.1	112361at5125	CM010335.1	5373425	5374417	-	0.985	1.000
GCA_003315725.1	112495at5125	CM010341.1	1870403	1871637	+	0.9897	1.000
GCA_003315725.1	112607at5125	CM010341.1	544265	545192	+	0.9762	1.000
GCA_003315725.1	1126at5125	CM010339.1	1187195	1187918	+	1.0	1.000
GCA_003315725.1	112759at5125	CM010342.1	1852456	1853964	+	1.0	1.000
GCA_003315725.1	112857at5125	CM010339.1	2293100	2295363	+	0.9918	1.000
GCA_003315725.1	113297at5125	CM010335.1	4725968	4726922	+	0.9866	1.000
GCA_003315725.1	113325at5125	CM010338.1	2761093	2768765	+	0.99	1.000
GCA_003315725.1	113478at5125	CM010337.1	4410461	4413916	+	0.9991	1.000
GCA_003315725.1	113652at5125	CM010335.1	5328816	5339084	-	0.9968	1.000
GCA_003315725.1	113708at5125	CM010335.1	1578896	1583531	+	0.9984	1.000
GCA_003315725.1	113918at5125	CM010338.1	3138479	3140172	-	1.0	1.000
GCA_003315725.1	113996at5125	CM010340.1	1509453	1510561	-	0.9914	1.000
GCA_003315725.1	114075at5125	CM010336.1	3153381	3154267	+	1.0	1.000
GCA_003315725.1	114290at5125	CM010338.1	2124697	2126979	-	0.9933	1.000
GCA_003315725.1	114765at5125	CM010336.1	1979479	1984647	+	0.994	1.000
GCA_003315725.1	114818at5125	CM010337.1	2546272	2548311	+	0.9949	1.000
GCA_003315725.1	114988at5125	CM010335.1	3056931	3057651	-	1.0	1.000
GCA_003315725.1	11508at5125	CM010336.1	3361137	3361995	+	1.0	1.000
GCA_003315725.1	115096at5125	CM010338.1	683170	684192	-	1.0	1.000
GCA_003315725.1	115231at5125	CM010335.1	2727475	2730315	-	0.9918	1.000
GCA_003315725.1	115232at5125	CM010340.1	3193990	3195770	-	0.9955	1.000
GCA_003315725.1	115277at5125	CM010337.1	1875373	1876959	-	0.973	1.000
GCA_003315725.1	115704at5125	CM010337.1	3479139	3480234	-	0.9971	1.000
GCA_003315725.1	115723at5125	CM010335.1	1688499	1690277	-	0.9942	1.000
GCA_003315725.1	115821at5125	CM010335.1	3964204	3965341	-	0.9889	1.000
GCA_003315725.1	116059at5125	CM010335.1	5093220	5095539	+	0.9943	1.000
GCA_003315725.1	116160at5125	CM010339.1	1910430	1913905	-	0.9978	1.000
GCA_003315725.1	116354at5125	CM010340.1	2381893	2383845	-	0.9874	1.000
GCA_003315725.1	116362at5125	CM010340.1	1042935	1044959	-	0.994	1.000
GCA_003315725.1	116774at5125	CM010340.1	1201719	1203296	+	0.9961	1.000
GCA_003315725.1	116802at5125	CM010335.1	2052533	2059801	-	0.9919	1.000
GCA_003315725.1	116813at5125	CM010336.1	3448020	3450010	-	0.9922	1.000
GCA_003315725.1	116853at5125	CM010342.1	1849503	1851672	-	0.9985	1.000
GCA_003315725.1	116889at5125	CM010339.1	583301	585992	-	0.9989	1.000
GCA_003315725.1	116909at5125	CM010337.1	3905031	3906731	-	0.9947	1.000
GCA_003315725.1	117043at5125	CM010339.1	3703431	3705968	-	0.9976	1.000
GCA_003315725.1	117138at5125	CM010337.1	3408003	3409283	-	0.9977	1.000
GCA_003315725.1	117213at5125	CM010339.1	3023905	3024309	-	1.0	1.000
GCA_003315725.1	117246at5125	CM010342.1	2309104	2311365	+	0.9987	1.000
GCA_003315725.1	117310at5125	CM010338.1	2441538	2447286	+	0.9986	1.000
GCA_003315725.1	117335at5125	CM010338.1	2855546	2856774	+	0.9991	0.997
GCA_003315725.1	117461at5125	CM010339.1	3180732	3181626	+	0.9886	1.000
GCA_003315725.1	117522at5125	CM010335.1	1749029	1750505	+	1.0	1.000
GCA_003315725.1	117651at5125	CM010338.1	3527694	3528863	+	0.9923	1.000
GCA_003315725.1	117708at5125	CM010336.1	3821179	3823683	+	0.994	1.000
GCA_003315725.1	117713at5125	CM010335.1	4124659	4125783	+	0.9893	1.000
GCA_003315725.1	117758at5125	CM010339.1	1403136	1405257	-	0.9971	1.000
GCA_003315725.1	117851at5125	CM010338.1	2500969	2506325	+	0.9935	1.000
GCA_003315725.1	117933at5125	CM010335.1	610144	611197	+	0.9968	1.000
GCA_003315725.1	117967at5125	CM010335.1	3058065	3059428	+	0.9959	1.000
GCA_003315725.1	118152at5125	CM010339.1	1086813	1087889	-	1.0	1.000
GCA_003315725.1	118180at5125	CM010338.1	1329209	1330548	-	1.0	1.000
GCA_003315725.1	118228at5125	CM010337.1	870311	871323	-	0.9907	1.000
GCA_003315725.1	118240at5125	CM010335.1	3809943	3811035	-	1.0	1.000
GCA_003315725.1	118246at5125	CM010338.1	3789737	3791967	-	0.9972	1.000
GCA_003315725.1	118253at5125	CM010335.1	3229910	3230958	+	0.9968	1.000
GCA_003315725.1	118267at5125	CM010338.1	781482	787576	-	0.9849	1.000
GCA_003315725.1	118271at5125	CM010340.1	1260869	1262965	+	1.0	1.000
GCA_003315725.1	118331at5125	CM010341.1	2043266	2046760	+	0.9972	1.000
GCA_003315725.1	118348at5125	CM010335.1	4647119	4650303	-	0.9979	1.000
GCA_003315725.1	118429at5125	CM010337.1	2196430	2197579	-	1.0	1.000
GCA_003315725.1	118641at5125	CM010338.1	3499759	3500095	+	0.9892	1.000
GCA_003315725.1	118684at5125	CM010335.1	809461	812917	-	0.9973	1.000
GCA_003315725.1	118692at5125	CM010338.1	3797436	3798957	+	1.0	1.000
GCA_003315725.1	118702at5125	CM010341.1	1365721	1368615	-	0.9978	1.000
GCA_003315725.1	118861at5125	CM010336.1	4247186	4249041	-	0.9963	1.000
GCA_003315725.1	118862at5125	CM010335.1	2983586	2986208	+	1.0	1.000
GCA_003315725.1	118905at5125	CM010335.1	5460952	5464932	-	0.9961	1.000
GCA_003315725.1	118929at5125	CM010341.1	2600655	2601720	+	0.997	1.000
GCA_003315725.1	119185at5125	CM010338.1	1758509	1760484	-	0.9984	1.000
GCA_003315725.1	119210at5125	CM010338.1	2395439	2396872	-	0.9942	1.000
GCA_003315725.1	119486at5125	CM010339.1	3419794	3421182	+	1.0	1.000
GCA_003315725.1	119545at5125	CM010335.1	4679678	4691967	-	0.9989	1.000
GCA_003315725.1	119604at5125	CM010340.1	3212696	3214737	-	0.9949	1.000
GCA_003315725.1	119667at5125	CM010342.1	939360	942294	-	1.0	1.000
GCA_003315725.1	119948at5125	CM010340.1	1404385	1405401	-	0.997	1.000
GCA_003315725.1	120005at5125	CM010341.1	597621	610748	-	0.9859	1.000
GCA_003315725.1	120027at5125	CM010341.1	880117	880816	-	1.0	1.000
GCA_003315725.1	120029at5125	CM010338.1	1789577	1790784	-	0.9972	1.000
GCA_003315725.1	120169at5125	CM010338.1	2558233	2563236	-	0.9955	1.000
GCA_003315725.1	120211at5125	CM010339.1	3593078	3595062	+	0.9954	1.000
GCA_003315725.1	120257at5125	CM010338.1	3203183	3204458	-	0.99	0.990
GCA_003315725.1	120267at5125	CM010336.1	1951896	1962191	+	0.994	1.000
GCA_003315725.1	120738at5125	CM010338.1	3344815	3348208	+	0.9971	1.000
GCA_003315725.1	120864at5125	CM010336.1	3550771	3551891	-	0.9941	1.000
GCA_003315725.1	120923at5125	CM010337.1	2347780	2348475	-	0.9948	1.000
GCA_003315725.1	120978at5125	CM010335.1	2451347	2453590	+	0.993	1.000
GCA_003315725.1	121194at5125	CM010335.1	2268722	2269300	-	0.9948	1.000
GCA_003315725.1	121248at5125	CM010336.1	2837657	2839573	+	0.9967	1.000
GCA_003315725.1	121296at5125	CM010338.1	1938349	1938978	-	0.9943	1.000
GCA_003315725.1	121343at5125	CM010336.1	2711699	2712496	-	0.9925	1.000
GCA_003315725.1	121374at5125	CM010336.1	2047396	2049420	+	0.9881	1.000
GCA_003315725.1	121394at5125	CM010336.1	1423063	1423602	+	1.0	1.000
GCA_003315725.1	121522at5125	CM010336.1	3788842	3791850	+	0.9945	1.000
GCA_003315725.1	121723at5125	CM010336.1	1812923	1814233	-	0.9952	1.000
GCA_003315725.1	121996at5125	CM010341.1	2403411	2404070	+	1.0	1.000
GCA_003315725.1	122130at5125	CM010338.1	1844203	1846876	-	0.9964	1.000
GCA_003315725.1	122213at5125	CM010342.1	1057445	1061421	-	0.9991	1.000
GCA_003315725.1	122476at5125	CM010336.1	2989919	2993548	-	0.9992	1.000
GCA_003315725.1	122625at5125	CM010338.1	828417	829813	+	0.9953	1.000
GCA_003315725.1	122644at5125	CM010341.1	1302374	1303643	-	0.9972	1.000
GCA_003315725.1	122741at5125	CM010337.1	3468511	3470263	-	1.0	1.000
GCA_003315725.1	122746at5125	CM010340.1	2281344	2282536	-	0.9884	1.000
GCA_003315725.1	122783at5125	CM010338.1	1602504	1603091	+	1.0	1.000
GCA_003315725.1	123013at5125	CM010336.1	2706096	2706740	-	1.0	1.000
GCA_003315725.1	123028at5125	CM010337.1	2161612	2163689	+	0.9966	1.000
GCA_003315725.1	123209at5125	CM010340.1	2873297	2875423	-	0.9883	1.000
GCA_003315725.1	123402at5125	CM010335.1	1806934	1810071	+	0.9869	1.000
GCA_003315725.1	123445at5125	CM010336.1	3058678	3059442	-	1.0	1.000
GCA_003315725.1	123602at5125	CM010337.1	1800447	1802486	-	0.9971	1.000
GCA_003315725.1	123654at5125	CM010342.1	1018317	1019972	-	0.9982	1.000
GCA_003315725.1	123677at5125	CM010336.1	728158	729723	-	0.9861	1.000
GCA_003315725.1	123797at5125	CM010336.1	512985	515045	-	0.9638	1.000
GCA_003315725.1	123931at5125	CM010335.1	3883260	3884168	+	1.0	1.000
GCA_003315725.1	124050at5125	CM010337.1	2082327	2083296	-	1.0	1.000
GCA_003315725.1	124218at5125	CM010336.1	1091764	1094038	-	0.9973	1.000
GCA_003315725.1	124265at5125	CM010338.1	2368257	2369229	-	0.9967	1.000
GCA_003315725.1	124274at5125	CM010340.1	2160792	2161468	-	1.0	1.000
GCA_003315725.1	124375at5125	CM010336.1	335629	342457	-	0.9918	1.000
GCA_003315725.1	124478at5125	CM010339.1	1343227	1359736	-	0.9977	1.000
GCA_003315725.1	124584at5125	CM010337.1	2555980	2558201	+	0.9972	1.000
GCA_003315725.1	124677at5125	QESU01000330.1	248413	250477	+	0.9943	1.000
GCA_003315725.1	124784at5125	CM010339.1	2335145	2335563	-	1.0	1.000
GCA_003315725.1	124800at5125	CM010335.1	1167913	1171393	-	0.9948	1.000
GCA_003315725.1	124854at5125	CM010335.1	4820988	4825528	+	0.9912	1.000
GCA_003315725.1	124897at5125	CM010338.1	3215567	3217057	-	0.9879	1.000
GCA_003315725.1	125149at5125	CM010340.1	2524153	2526667	-	0.9915	1.000
GCA_003315725.1	125215at5125	CM010335.1	1780793	1795130	+	0.9818	1.000
GCA_003315725.1	125236at5125	CM010335.1	2664414	2665235	+	1.0	1.000
GCA_003315725.1	125329at5125	CM010340.1	1192123	1195468	-	0.9954	1.000
GCA_003315725.1	125872at5125	CM010340.1	947866	950529	+	0.9955	1.000
GCA_003315725.1	126424at5125	CM010340.1	2130994	2131698	-	1.0	1.000
GCA_003315725.1	126537at5125	CM010341.1	1862666	1863914	+	0.9894	1.000
GCA_003315725.1	126820at5125	CM010339.1	1016920	1018487	+	0.9958	1.000
GCA_003315725.1	126821at5125	CM010338.1	2964899	2967317	-	0.9898	1.000
GCA_003315725.1	126973at5125	CM010336.1	1027913	1028992	-	0.9889	1.000
GCA_003315725.1	126981at5125	CM010335.1	2565358	2568107	+	0.9989	1.000
GCA_003315725.1	127075at5125	CM010340.1	3368832	3369588	-	0.9872	1.000
GCA_003315725.1	127259at5125	CM010342.1	1051742	1052854	-	0.9973	1.000
GCA_003315725.1	127293at5125	CM010337.1	1292618	1293267	-	1.0	1.000
GCA_003315725.1	127395at5125	CM010335.1	2926186	2926824	+	1.0	1.000
GCA_003315725.1	127405at5125	CM010338.1	1989300	1991096	+	0.9932	1.000
GCA_003315725.1	127455at5125	CM010338.1	3146267	3148352	+	0.9995	1.000
GCA_003315725.1	127620at5125	CM010338.1	1906561	1909379	-	0.9944	1.000
GCA_003315725.1	127853at5125	CM010335.1	1907162	1909610	+	0.9936	1.000
GCA_003315725.1	128056at5125	CM010339.1	2296727	2297516	+	0.9958	1.000
GCA_003315725.1	128161at5125	CM010337.1	2072603	2073010	+	1.0	1.000
GCA_003315725.1	128629at5125	CM010341.1	542706	543525	+	1.0	1.000
GCA_003315725.1	128686at5125	CM010336.1	1523597	1524259	-	0.9909	1.000
GCA_003315725.1	128844at5125	CM010338.1	3323921	3326689	-	0.9974	1.000
GCA_003315725.1	129146at5125	CM010339.1	3612584	3613670	+	0.9971	1.000
GCA_003315725.1	129299at5125	CM010340.1	2661509	2664997	+	0.9948	1.000
GCA_003315725.1	129422at5125	CM010339.1	3851360	3853251	+	0.9911	1.000
GCA_003315725.1	129579at5125	CM010338.1	2339215	2341182	+	0.9893	1.000
GCA_003315725.1	129627at5125	CM010335.1	3312614	3313435	-	0.9964	1.000
GCA_003315725.1	130113at5125	CM010335.1	4432409	4433068	+	1.0	1.000
GCA_003315725.1	130228at5125	CM010335.1	3998537	4013094	-	0.9929	0.998
GCA_003315725.1	130446at5125	CM010339.1	3250217	3254053	-	0.9975	1.000
GCA_003315725.1	130464at5125	CM010335.1	5711039	5712172	-	0.9947	1.000
GCA_003315725.1	130491at5125	CM010337.1	1430921	1432287	+	1.0	1.000
GCA_003315725.1	130536at5125	CM010340.1	2492827	2494475	+	0.9705	1.000
GCA_003315725.1	131341at5125	CM010337.1	1057343	1059460	+	0.9971	1.000
GCA_003315725.1	131466at5125	CM010338.1	2473331	2474455	-	1.0	1.000
GCA_003315725.1	131496at5125	CM010341.1	2436332	2438052	+	0.9979	1.000
GCA_003315725.1	131823at5125	CM010339.1	2893147	2897860	+	0.9941	1.000
GCA_003315725.1	132232at5125	CM010335.1	1917733	1919358	+	0.9963	1.000
GCA_003315725.1	132328at5125	CM010335.1	3680148	3681200	-	0.9914	1.000
GCA_003315725.1	132392at5125	CM010341.1	1211392	1213243	-	0.995	1.000
GCA_003315725.1	132508at5125	CM010338.1	3119502	3120632	-	0.9972	1.000
GCA_003315725.1	132518at5125	CM010335.1	5160020	5161803	-	0.9944	1.000
GCA_003315725.1	132519at5125	CM010337.1	4095203	4096360	-	1.0	1.000
GCA_003315725.1	132532at5125	CM010337.1	1109469	1110813	+	0.9815	1.000
GCA_003315725.1	132557at5125	CM010335.1	4943665	4944787	-	0.9434	1.000
GCA_003315725.1	132837at5125	CM010335.1	1116087	1117678	-	0.996	1.000
GCA_003315725.1	132861at5125	CM010335.1	2568903	2570049	+	0.9834	1.000
GCA_003315725.1	132880at5125	CM010341.1	2138919	2142719	-	0.9943	1.000
GCA_003315725.1	133074at5125	CM010339.1	1572031	1573273	-	0.9975	1.000
GCA_003315725.1	133284at5125	CM010335.1	1763773	1765131	-	0.9898	1.000
GCA_003315725.1	13332at5125	CM010335.1	1223930	1224999	+	1.0	1.000
GCA_003315725.1	133736at5125	CM010341.1	2339087	2340133	+	1.0	1.000
GCA_003315725.1	133765at5125	CM010335.1	2255746	2256732	-	0.9968	1.000
GCA_003315725.1	133785at5125	CM010342.1	1172588	1173898	-	0.985	1.000
GCA_003315725.1	134188at5125	CM010335.1	4241216	4243155	-	0.9898	1.000
GCA_003315725.1	134459at5125	CM010341.1	2361391	2362974	+	0.9962	1.000
GCA_003315725.1	134497at5125	CM010339.1	2615913	2617007	-	0.9907	1.000
GCA_003315725.1	134582at5125	CM010341.1	1577555	1580524	+	0.9893	1.000
GCA_003315725.1	134824at5125	CM010336.1	2660577	2662311	+	0.9938	1.000
GCA_003315725.1	135314at5125	CM010335.1	1840953	1843607	+	1.0	1.000
GCA_003315725.1	136016at5125	CM010340.1	1317543	1319561	-	0.9969	1.000
GCA_003315725.1	136066at5125	CM010341.1	351096	352629	+	0.986	1.000
GCA_003315725.1	136151at5125	CM010335.1	4144329	4145140	-	1.0	1.000
GCA_003315725.1	136161at5125	CM010337.1	3888758	3891625	+	0.9957	1.000
GCA_003315725.1	13666at5125	CM010336.1	2593849	2595480	-	1.0	1.000
GCA_003315725.1	1368at5125	CM010341.1	590655	591203	-	1.0	1.000
GCA_003315725.1	137651at5125	CM010336.1	1062322	1063299	+	1.0	1.000
GCA_003315725.1	137975at5125	CM010340.1	3127473	3130422	-	0.9877	1.000
GCA_003315725.1	13873at5125	CM010342.1	1839514	1840476	+	0.9938	1.000
GCA_003315725.1	139279at5125	CM010341.1	729408	732431	-	0.9917	1.000
GCA_003315725.1	140216at5125	CM010335.1	4895873	4899311	-	0.9919	1.000
GCA_003315725.1	140657at5125	CM010339.1	1413579	1415667	-	0.9576	1.000
GCA_003315725.1	14224at5125	CM010335.1	2582131	2584513	-	0.9972	1.000
GCA_003315725.1	142605at5125	CM010338.1	2801774	2802605	-	0.9958	1.000
