#                                                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
144019at5125_57161_0:00148c|CP052038.1:3883314-3888539|-   -            755 144019               -            756  1.2e-201  661.1   0.0   1   1  1.8e-201  1.8e-201  660.5   0.0     5   747    11   741     8   749 0.82 <unknown description>
144019at5125_1081102_0:002256|CP052038.1:1004987-1008747|- -            759 144019               -            756  4.4e-167  546.8   0.3   3   4   1.3e-94   1.3e-94  307.2   0.0   396   666   311   572   305   582 0.95 <unknown description>
144019at5125_1081102_0:002256|CP052038.1:1004987-1008747|- -            759 144019               -            756  4.4e-167  546.8   0.3   4   4   3.9e-08   3.9e-08   21.3   0.0   696   751   678   733   669   738 0.87 <unknown description>
144019at5125_1276141_0:001978|CP052038.1:1006085-1011019|- -            730 144019               -            756  5.9e-166  543.1   0.4   1   3   1.5e-64   1.5e-64  207.8   2.0   151   361   152   356   132   364 0.93 <unknown description>
144019at5125_1276141_0:001978|CP052038.1:1006085-1011019|- -            730 144019               -            756  5.9e-166  543.1   0.4   2   3     1e-94     1e-94  307.6   0.0   396   666   363   624   356   635 0.94 <unknown description>
144019at5125_1276141_0:001978|CP052038.1:1006085-1011019|- -            730 144019               -            756  5.9e-166  543.1   0.4   3   3   1.1e-08   1.1e-08   23.1   0.0   682   745   663   726   651   730 0.90 <unknown description>
144019at5125_2039875_0:000a19|CP052038.1:1006601-1008333|- -            561 144019               -            756    2e-157  514.9   1.9   1   2   9.3e-64   9.3e-64  205.2   2.0   155   361     1   201     1   210 0.95 <unknown description>
144019at5125_2039875_0:000a19|CP052038.1:1006601-1008333|- -            561 144019               -            756    2e-157  514.9   1.9   2   2   5.7e-95   5.7e-95  308.4   0.0   396   666   208   469   201   479 0.94 <unknown description>
144019at5125_468837_0:001a23|CP052038.1:1006964-1008390|-  -            459 144019               -            756  4.9e-156  510.3   3.1   1   2   5.2e-66   5.2e-66  212.6   1.6   144   361     9   220     2   229 0.94 <unknown description>
144019at5125_468837_0:001a23|CP052038.1:1006964-1008390|-  -            459 144019               -            756  4.9e-156  510.3   3.1   2   2   7.9e-92   7.9e-92  298.0   0.0   396   634   227   459   220   459 0.96 <unknown description>
144019at5125_2502994_0:0032c0|CP052038.1:3886069-3887851|- -            528 144019               -            756  7.5e-154  503.1   0.0   1   1  8.9e-154  8.9e-154  502.8   0.0   209   745     1   511     1   522 0.84 <unknown description>
144019at5125_92637_0:000d37|CP052038.1:3886360-3887454|-   -            309 144019               -            756  1.1e-124  406.7   0.0   1   1  1.2e-124  1.2e-124  406.5   0.0   343   665     6   309     1   309 0.91 <unknown description>
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/144019at5125.hmm
# Target file:     /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_013085055.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/144019at5125.faa
# Option settings: hmmsearch --domtblout /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_013085055.1/run_hypocreales_odb12.2/hmmer_output/144019at5125.out --cpu 1 /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/144019at5125.hmm /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_013085055.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/144019at5125.faa 
# Current dir:     /home/arafat/Foxy_SIX_Evolution
# Date:            Thu Sep 24 15:52:10 2026
# [ok]
