#                                                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
146661at5125_2030778_0:000a74|CM010805.1:1923732-1928090|-   -            893 146661               -            739         0 1192.2   0.0   1   1         0         0 1191.8   0.0    16   670   100   796    72   834 0.89 <unknown description>
146661at5125_5507_3:003f09|MRCU01000010.1:2891-5036|+        -            675 146661               -            739    9e-205  672.6   2.5   2   2  1.5e-101  1.5e-101  331.3   2.2   443   671   199   440   188   482 0.84 <unknown description>
146661at5125_2773459_0:000d46|CM010805.1:1924932-1926819|-   -            630 146661               -            739  1.3e-180  592.7   1.5   1   2  1.4e-180  1.4e-180  592.6   0.1   308   670     1   389     1   430 0.89 <unknown description>
146661at5125_2773459_0:000d46|CM010805.1:1924932-1926819|-   -            630 146661               -            739  1.3e-180  592.7   1.5   2   2      0.98      0.98   -2.0   0.2   676   700   454   478   444   495 0.68 <unknown description>
146661at5125_2604345_0:0043b7|MRCU01000019.1:247412-248987|- -            526 146661               -            739    1e-123  404.6   1.2   1   1  1.6e-123  1.6e-123  404.0   0.7   404   671     1   285     1   327 0.88 <unknown description>
146661at5125_2604345_0:0043b7|MRCU01000019.1:478343-479918|+ -            526 146661               -            739    1e-123  404.6   1.2   1   1  1.6e-123  1.6e-123  404.0   0.7   404   671     1   285     1   327 0.88 <unknown description>
146661at5125_2604345_0:0043b7|MRCU01000010.1:3479-5052|+     -            524 146661               -            739  3.5e-119  389.6   2.0   1   1  4.3e-119  4.3e-119  389.3   1.5   404   691     1   306     1   358 0.86 <unknown description>
146661at5125_2885761_0:002044|CM010805.1:1927127-1928198|-   -            358 146661               -            739    4e-118  386.1   5.2   1   1  4.9e-118  4.9e-118  385.8   5.2    16   223   136   357   107   357 0.86 <unknown description>
146661at5125_1089452_0:00451a|MRCU01000019.1:247727-248750|- -            342 146661               -            739   8.3e-89  289.2   0.8   1   2   8.3e-89   8.3e-89  289.2   0.8   480   671     1   206     1   252 0.84 <unknown description>
146661at5125_1089452_0:00451a|MRCU01000019.1:247727-248750|- -            342 146661               -            739   8.3e-89  289.2   0.8   2   2       1.8       1.8   -2.9   0.0   678   700   273   295   264   312 0.66 <unknown description>
146661at5125_1089452_0:00451a|MRCU01000019.1:478580-479603|+ -            342 146661               -            739   8.3e-89  289.2   0.8   1   2   8.3e-89   8.3e-89  289.2   0.8   480   671     1   206     1   252 0.84 <unknown description>
146661at5125_1089452_0:00451a|MRCU01000019.1:478580-479603|+ -            342 146661               -            739   8.3e-89  289.2   0.8   2   2       1.8       1.8   -2.9   0.0   678   700   273   295   264   312 0.66 <unknown description>
146661at5125_1089452_0:00451a|MRCU01000010.1:3715-4737|+     -            341 146661               -            739   4.2e-86  280.3   1.4   1   2   4.2e-86   4.2e-86  280.3   1.4   480   691     1   228     1   278 0.83 <unknown description>
146661at5125_1089452_0:00451a|MRCU01000010.1:3715-4737|+     -            341 146661               -            739   4.2e-86  280.3   1.4   2   2       1.7       1.7   -2.8   0.0   678   700   272   294   261   311 0.65 <unknown description>
146661at5125_29856_0:00147d|MRCU01000013.1:484593-484761|+   -             57 146661               -            739   3.6e-15   45.8   9.6   1   1   3.9e-15   3.9e-15   45.6   9.6    51    96     5    50     2    54 0.93 <unknown description>
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/146661at5125.hmm
# Target file:     /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003615085.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/146661at5125.faa
# Option settings: hmmsearch --domtblout /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003615085.1/run_hypocreales_odb12.2/hmmer_output/146661at5125.out --cpu 1 /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/146661at5125.hmm /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003615085.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/146661at5125.faa 
# Current dir:     /home/arafat/Foxy_SIX_Evolution
# Date:            Thu Sep 24 13:57:35 2026
# [ok]
