marker_id	start	end
118253at5125	109160	109473
118267at5125	109474	111295
118271at5125	111296	111822
118331at5125	111823	112889
118348at5125	112890	113862
118429at5125	113863	114211
118641at5125	114212	114304
118684at5125	114305	115418
118692at5125	115419	115828
118702at5125	115829	116757
118861at5125	116758	117296
118862at5125	117297	118149
118905at5125	118150	119428
118929at5125	119429	119766
119185at5125	119767	120403
119210at5125	120404	120862
119486at5125	120863	121288
119545at5125	121289	122194
119604at5125	122195	122783
119667at5125	122784	123360
119948at5125	123361	123698
120005at5125	123699	124279
120027at5125	124280	124495
120029at5125	124496	124850
120169at5125	124851	126399
120211at5125	126400	127050
120257at5125	127051	127353
120267at5125	127354	128519
120738at5125	128520	129556
120864at5125	129557	129894
120923at5125	129895	130084
120978at5125	130085	130773
121194at5125	130774	130965
121248at5125	130966	131663
121296at5125	131664	131837
121343at5125	131838	132102
121374at5125	132103	132776
121394at5125	132777	132955
121522at5125	132956	133863
121723at5125	133864	134282
121996at5125	134283	134445
122130at5125	134446	135280
122213at5125	135281	136334
122476at5125	136335	137543
122625at5125	137544	137973
122644at5125	137974	138336
122741at5125	138337	138899
122746at5125	138900	139157
122783at5125	139158	139352
123028at5125	139353	139938
123209at5125	139939	140620
123402at5125	140621	141609
123445at5125	141610	141844
123602at5125	141845	142523
123654at5125	142524	143074
123677at5125	143075	143579
123797at5125	143580	144213
123931at5125	144214	144515
124050at5125	144516	144739
124218at5125	144740	145480
124265at5125	145481	145783
124274at5125	145784	145953
124375at5125	145954	146517
124478at5125	146518	147402
124584at5125	147403	148120
124677at5125	148121	148649
124784at5125	148650	148763
124800at5125	148764	149893
124854at5125	149894	151373
124897at5125	151374	151868
125149at5125	151869	152690
125215at5125	152691	155360
125236at5125	155361	155633
125329at5125	155634	156709
125872at5125	156710	157578
126424at5125	157579	157812
126537at5125	157813	158184
126820at5125	158185	158656
126821at5125	158657	159442
126981at5125	159443	160339
127075at5125	160340	160563
127259at5125	160564	160933
127293at5125	160934	161110
127395at5125	161111	161303
127405at5125	161304	161838
127455at5125	161839	162532
127620at5125	162533	163359
127853at5125	163360	164131
128056at5125	164132	164371
128161at5125	164372	164506
128629at5125	164507	164764
128686at5125	164765	164984
128844at5125	164985	165375
129146at5125	165376	165718
129299at5125	165719	166874
129422at5125	166875	167429
129579at5125	167430	168084
129627at5125	168085	168358
130113at5125	168359	168577
130228at5125	168578	170858
130446at5125	170859	172065
130464at5125	172066	172442
130491at5125	172443	172858
130536at5125	172859	173390
131341at5125	173391	174077
131466at5125	174078	174391
131496at5125	174392	174669
131823at5125	174670	175344
132232at5125	175345	175886
132328at5125	175887	176232
132392at5125	176233	176833
132508at5125	176834	177193
132518at5125	177194	177732
132519at5125	177733	178117
132532at5125	178118	178547
132557at5125	178548	178798
132837at5125	178799	179294
132861at5125	179295	179655
132880at5125	179656	180889
133074at5125	180890	181287
133284at5125	181288	181627
13332at5125	181628	181965
133736at5125	181966	182189
133765at5125	182190	182499
133785at5125	182500	182896
134188at5125	182897	183479
134459at5125	183480	184005
134497at5125	184006	184311
134824at5125	184312	184752
135314at5125	184753	185590
136016at5125	185591	186245
136066at5125	186246	186740
136151at5125	186741	186973
136161at5125	186974	187894
13666at5125	187895	188437
1368at5125	188438	188619
137651at5125	188620	188896
13873at5125	188897	189216
140216at5125	189217	190318
140657at5125	190319	190679
14224at5125	190680	191381
142605at5125	191382	191617
142614at5125	191618	191952
142659at5125	191953	192269
142711at5125	192270	192959
142717at5125	192960	193511
142744at5125	193512	193775
142753at5125	193776	193962
142762at5125	193963	194574
142765at5125	194575	194816
142774at5125	194817	195006
142792at5125	195007	195405
142796at5125	195406	195659
142810at5125	195660	196021
142866at5125	196022	196321
142896at5125	196322	196719
142908at5125	196720	196842
142988at5125	196843	197082
143020at5125	197083	197295
143113at5125	197296	197598
143133at5125	197599	197692
143201at5125	197693	198070
143274at5125	198071	199586
143279at5125	199587	199871
143328at5125	199872	200654
143343at5125	200655	201445
143401at5125	201446	202053
143419at5125	202054	202251
143435at5125	202252	202792
143455at5125	202793	203016
143458at5125	203017	203657
143494at5125	203658	204680
143525at5125	204681	205141
143569at5125	205142	205301
143572at5125	205302	205805
143612at5125	205806	206138
143650at5125	206139	206779
143670at5125	206780	207289
143695at5125	207290	207476
143708at5125	207477	207955
143732at5125	207956	208419
143736at5125	208420	208934
143746at5125	208935	209411
143748at5125	209412	210049
143758at5125	210050	210380
143788at5125	210381	210832
143798at5125	210833	211288
143800at5125	211289	211674
143850at5125	211675	212496
143872at5125	212497	212622
143886at5125	212623	212949
143897at5125	212950	213129
143904at5125	213130	213384
143964at5125	213385	214185
143977at5125	214186	214785
144046at5125	214786	214988
144059at5125	214989	216118
144088at5125	216119	216485
144097at5125	216486	216947
144112at5125	216948	217152
144123at5125	217153	217365
144186at5125	217366	217827
144225at5125	217828	219383
144228at5125	219384	219519
144267at5125	219520	219669
144297at5125	219670	220079
144298at5125	220080	220802
144311at5125	220803	221436
144313at5125	221437	221781
144326at5125	221782	222075
144360at5125	222076	222749
144367at5125	222750	222882
144375at5125	222883	223141
144383at5125	223142	223469
144401at5125	223470	224106
144467at5125	224107	224463
144512at5125	224464	224627
144516at5125	224628	224997
144517at5125	224998	225191
144522at5125	225192	225705
144552at5125	225706	226208
144576at5125	226209	227607
144600at5125	227608	228020
144670at5125	228021	228359
144726at5125	228360	228747
144753at5125	228748	229241
144773at5125	229242	229555
144785at5125	229556	229962
144815at5125	229963	230082
144840at5125	230083	230258
144864at5125	230259	230616
144920at5125	230617	231169
144922at5125	231170	231460
144945at5125	231461	231557
144967at5125	231558	232480
144971at5125	232481	234163
144984at5125	234164	234470
145013at5125	234471	234780
145064at5125	234781	235598
145125at5125	235599	235731
145156at5125	235732	236062
145191at5125	236063	236683
145275at5125	236684	236943
145282at5125	236944	238318
145312at5125	238319	240206
145316at5125	240207	241330
145359at5125	241331	241814
145386at5125	241815	242077
145393at5125	242078	242290
145444at5125	242291	242650
145447at5125	242651	243412
145460at5125	243413	243861
14550at5125	243862	244196
145513at5125	244197	244393
145527at5125	244394	245027
145576at5125	245028	245339
145577at5125	245340	246237
145586at5125	246238	246618
145590at5125	246619	247397
145619at5125	247398	247702
145636at5125	247703	248058
145686at5125	248059	248318
145704at5125	248319	249998
145724at5125	249999	250173
145732at5125	250174	251517
145737at5125	251518	251746
145748at5125	251747	252925
145765at5125	252926	253777
145767at5125	253778	254714
145777at5125	254715	255657
145779at5125	255658	256028
145780at5125	256029	256675
145787at5125	256676	257026
145825at5125	257027	257937
145843at5125	257938	258608
145874at5125	258609	259303
145875at5125	259304	260467
145877at5125	260468	260774
145887at5125	260775	261138
145901at5125	261139	261548
145948at5125	261549	261875
145968at5125	261876	263408
145983at5125	263409	263884
145990at5125	263885	264099
146029at5125	264100	264295
146108at5125	264296	264683
146113at5125	264684	264952
146159at5125	264953	267319
146193at5125	267320	267994
146195at5125	267995	268399
146210at5125	268400	269365
146225at5125	269366	269570
146260at5125	269571	270395
146304at5125	270396	270736
146305at5125	270737	271477
146308at5125	271478	271768
146354at5125	271769	272250
146365at5125	272251	272604
146373at5125	272605	273200
146407at5125	273201	274454
146454at5125	274455	275308
146464at5125	275309	275620
146492at5125	275621	276095
146527at5125	276096	276836
146584at5125	276837	277577
146592at5125	277578	278036
146599at5125	278037	278798
146609at5125	278799	279053
146614at5125	279054	279643
146620at5125	279644	280826
146650at5125	280827	281146
146684at5125	281147	281654
146710at5125	281655	282181
146713at5125	282182	282821
146718at5125	282822	283199
146797at5125	283200	283478
146812at5125	283479	283993
146835at5125	283994	284596
146838at5125	284597	284855
146852at5125	284856	285838
146866at5125	285839	286346
146886at5125	286347	287112
146904at5125	287113	288003
146944at5125	288004	288564
146949at5125	288565	288920
146956at5125	288921	289810
146958at5125	289811	290528
146966at5125	290529	292044
146969at5125	292045	292476
146977at5125	292477	293057
146989at5125	293058	293353
146990at5125	293354	294131
147012at5125	294132	295241
147014at5125	295242	295859
147023at5125	295860	296068
147050at5125	296069	297400
147056at5125	297401	298279
147070at5125	298280	299883
147089at5125	299884	300307
147097at5125	300308	300550
147100at5125	300551	300906
147105at5125	300907	301479
147122at5125	301480	302715
147132at5125	302716	303047
147139at5125	303048	303580
147165at5125	303581	304184
147187at5125	304185	304941
147196at5125	304942	305453
147197at5125	305454	306091
147226at5125	306092	306502
147233at5125	306503	306857
147258at5125	306858	306975
147291at5125	306976	307411
147307at5125	307412	307805
147312at5125	307806	308048
147317at5125	308049	308558
147328at5125	308559	309617
147339at5125	309618	310396
147351at5125	310397	311229
147370at5125	311230	312257
147373at5125	312258	312949
147384at5125	312950	313290
147386at5125	313291	313712
147388at5125	313713	314115
147390at5125	314116	314325
147407at5125	314326	315144
147411at5125	315145	316200
147417at5125	316201	316913
147418at5125	316914	318509
147421at5125	318510	318813
147429at5125	318814	319404
147430at5125	319405	319663
147436at5125	319664	321081
147440at5125	321082	321371
147464at5125	321372	321611
147480at5125	321612	322089
147482at5125	322090	322776
147491at5125	322777	322972
147496at5125	322973	324038
147509at5125	324039	324231
147526at5125	324232	324462
147534at5125	324463	324771
147572at5125	324772	325780
147594at5125	325781	326620
147604at5125	326621	327230
147615at5125	327231	329288
147629at5125	329289	329590
147679at5125	329591	330746
147704at5125	330747	330935
147706at5125	330936	331664
147709at5125	331665	332018
147729at5125	332019	332559
147732at5125	332560	333044
147780at5125	333045	333266
147785at5125	333267	333812
147791at5125	333813	334816
147798at5125	334817	336104
147870at5125	336105	336729
147897at5125	336730	337437
147904at5125	337438	337856
147934at5125	337857	338059
147945at5125	338060	338509
147947at5125	338510	338919
147952at5125	338920	339091
147969at5125	339092	339349
147974at5125	339350	339755
147983at5125	339756	340251
147987at5125	340252	340777
147989at5125	340778	340998
147995at5125	340999	342092
148025at5125	342093	342489
148036at5125	342490	342869
148057at5125	342870	343914
148071at5125	343915	344608
148089at5125	344609	344899
148094at5125	344900	346341
148115at5125	346342	346586
148128at5125	346587	347126
148132at5125	347127	347619
148139at5125	347620	348025
148145at5125	348026	348225
148163at5125	348226	348530
148171at5125	348531	349001
148206at5125	349002	349634
148214at5125	349635	350306
148218at5125	350307	350715
148238at5125	350716	350871
148243at5125	350872	351302
148251at5125	351303	352004
148253at5125	352005	352285
148254at5125	352286	352731
148294at5125	352732	353628
148308at5125	353629	354041
148328at5125	354042	354385
148364at5125	354386	354482
148373at5125	354483	355183
148406at5125	355184	355784
148432at5125	355785	356454
148434at5125	356455	356592
148450at5125	356593	357895
148482at5125	357896	358112
148496at5125	358113	358662
148537at5125	358663	358871
148544at5125	358872	359851
148585at5125	359852	360830
148586at5125	360831	361513
148589at5125	361514	362099
148595at5125	362100	362821
148624at5125	362822	363675
148633at5125	363676	364218
148651at5125	364219	364372
148656at5125	364373	365060
148661at5125	365061	365280
148665at5125	365281	365567
148683at5125	365568	366472
148703at5125	366473	367574
148712at5125	367575	368118
148742at5125	368119	368471
148749at5125	368472	368871
148759at5125	368872	369178
148773at5125	369179	369428
148781at5125	369429	371186
148804at5125	371187	371825
148818at5125	371826	373049
148833at5125	373050	373533
148850at5125	373534	375021
148862at5125	375022	376245
148868at5125	376246	376527
148876at5125	376528	376986
148880at5125	376987	378677
148888at5125	378678	379244
148893at5125	379245	379629
148896at5125	379630	380286
148904at5125	380287	381045
148915at5125	381046	381375
148928at5125	381376	382011
148932at5125	382012	382970
148955at5125	382971	383758
148956at5125	383759	384183
148968at5125	384184	385262
148972at5125	385263	386459
148990at5125	386460	387761
148993at5125	387762	388021
148998at5125	388022	388617
149001at5125	388618	390119
149002at5125	390120	390496
149006at5125	390497	390977
149010at5125	390978	394968
149043at5125	394969	396725
149053at5125	396726	397019
149063at5125	397020	397400
149072at5125	397401	397661
149080at5125	397662	398242
149083at5125	398243	398726
14908at5125	398727	399250
149099at5125	399251	400699
149103at5125	400700	402036
149105at5125	402037	402704
149114at5125	402705	403172
149125at5125	403173	403472
149138at5125	403473	403686
149142at5125	403687	404156
149160at5125	404157	404359
149188at5125	404360	405491
149211at5125	405492	406272
149223at5125	406273	406611
149224at5125	406612	407527
149236at5125	407528	407846
149240at5125	407847	408772
149243at5125	408773	409466
149296at5125	409467	409912
149312at5125	409913	410256
149338at5125	410257	410802
149343at5125	410803	411794
149354at5125	411795	412603
149362at5125	412604	413235
149376at5125	413236	413863
149403at5125	413864	414285
149444at5125	414286	415107
149469at5125	415108	416492
149473at5125	416493	417395
149477at5125	417396	419172
149481at5125	419173	419576
149483at5125	419577	420098
149512at5125	420099	420587
149655at5125	420588	421135
149664at5125	421136	421607
149674at5125	421608	422712
149675at5125	422713	423657
149680at5125	423658	424042
149736at5125	424043	424883
149746at5125	424884	426187
149785at5125	426188	426445
14979at5125	426446	426644
149809at5125	426645	427300
149841at5125	427301	427995
149845at5125	427996	428244
149853at5125	428245	428642
149858at5125	428643	429644
149862at5125	429645	430853
149885at5125	430854	431129
149888at5125	431130	431425
149901at5125	431426	432408
149932at5125	432409	432696
149946at5125	432697	433037
149950at5125	433038	434954
149958at5125	434955	435749
149976at5125	435750	436173
149988at5125	436174	437062
149991at5125	437063	437832
149996at5125	437833	438326
150004at5125	438327	438946
150019at5125	438947	440309
150028at5125	440310	440706
150032at5125	440707	441501
150037at5125	441502	442310
150038at5125	442311	442491
150047at5125	442492	443319
150050at5125	443320	443839
150051at5125	443840	444078
150080at5125	444079	444365
150085at5125	444366	445243
150091at5125	445244	445638
150103at5125	445639	446711
150104at5125	446712	447151
150120at5125	447152	447438
150127at5125	447439	447938
150159at5125	447939	448091
150166at5125	448092	449441
150171at5125	449442	449871
150187at5125	449872	450084
150192at5125	450085	450867
150195at5125	450868	451244
150197at5125	451245	452147
150210at5125	452148	452671
150217at5125	452672	453040
150220at5125	453041	453484
150227at5125	453485	453981
150228at5125	453982	454325
150236at5125	454326	454723
150240at5125	454724	454963
150271at5125	454964	455767
150279at5125	455768	457312
150308at5125	457313	459732
150311at5125	459733	460511
150335at5125	460512	460712
150346at5125	460713	461700
150363at5125	461701	462475
150373at5125	462476	462820
150382at5125	462821	463837
150395at5125	463838	464168
150399at5125	464169	464373
150406at5125	464374	465162
150438at5125	465163	465689
150456at5125	465690	466864
150457at5125	466865	467919
150461at5125	467920	468997
150465at5125	468998	469316
150481at5125	469317	469602
150497at5125	469603	469950
150509at5125	469951	470186
150523at5125	470187	470884
150576at5125	470885	471069
150600at5125	471070	472306
150670at5125	472307	472912
150671at5125	472913	473102
150672at5125	473103	473450
150680at5125	473451	473592
150689at5125	473593	474768
150694at5125	474769	476354
150701at5125	476355	476772
150703at5125	476773	476852
150721at5125	476853	477275
150726at5125	477276	477436
150733at5125	477437	477629
150751at5125	477630	478985
150756at5125	478986	479456
150768at5125	479457	479874
150783at5125	479875	480909
150796at5125	480910	481893
150806at5125	481894	483644
150808at5125	483645	484430
150815at5125	484431	485292
150827at5125	485293	486145
150843at5125	486146	486583
150867at5125	486584	487261
150883at5125	487262	487506
150884at5125	487507	488191
150938at5125	488192	488474
150957at5125	488475	489076
151009at5125	489077	490209
151015at5125	490210	491570
151020at5125	491571	491828
151028at5125	491829	493117
151056at5125	493118	494057
151058at5125	494058	494478
151069at5125	494479	494778
151086at5125	494779	495186
151093at5125	495187	496110
151095at5125	496111	496829
151104at5125	496830	497212
151105at5125	497213	498171
151118at5125	498172	499315
15111at5125	499316	499555
151120at5125	499556	500008
151123at5125	500009	500705
151131at5125	500706	501434
151132at5125	501435	501780
151151at5125	501781	502406
151158at5125	502407	502739
151166at5125	502740	503313
151185at5125	503314	503453
151213at5125	503454	503609
151218at5125	503610	504751
151232at5125	504752	505894
151237at5125	505895	507365
151273at5125	507366	507618
151285at5125	507619	508270
151305at5125	508271	510253
151310at5125	510254	510525
151321at5125	510526	511008
151327at5125	511009	511447
151342at5125	511448	512426
151350at5125	512427	512790
151354at5125	512791	513438
151360at5125	513439	513612
151371at5125	513613	513765
151378at5125	513766	513867
151383at5125	513868	514323
151413at5125	514324	515129
151417at5125	515130	515566
151426at5125	515567	515999
151438at5125	516000	516142
151448at5125	516143	516596
151449at5125	516597	517202
151457at5125	517203	518700
151470at5125	518701	518868
151471at5125	518869	519747
151483at5125	519748	520324
151512at5125	520325	521372
151520at5125	521373	522289
151526at5125	522290	523058
151536at5125	523059	523334
151538at5125	523335	523684
151541at5125	523685	524153
151570at5125	524154	524287
151574at5125	524288	524525
151581at5125	524526	524710
151611at5125	524711	525447
151617at5125	525448	525614
151627at5125	525615	526553
151655at5125	526554	526657
151656at5125	526658	526920
151663at5125	526921	527655
151672at5125	527656	528001
151680at5125	528002	528144
151697at5125	528145	528716
151699at5125	528717	528848
151701at5125	528849	529179
151703at5125	529180	529760
151704at5125	529761	530164
151705at5125	530165	530876
151716at5125	530877	530972
151725at5125	530973	531636
151756at5125	531637	532258
151764at5125	532259	532481
151769at5125	532482	532776
151779at5125	532777	533069
151787at5125	533070	533249
151789at5125	533250	533511
151794at5125	533512	534444
151800at5125	534445	534576
151818at5125	534577	534730
151837at5125	534731	535128
151841at5125	535129	535246
151854at5125	535247	535812
151859at5125	535813	536002
151867at5125	536003	536471
151883at5125	536472	537081
151886at5125	537082	537199
151896at5125	537200	537551
151899at5125	537552	537745
151933at5125	537746	538152
151998at5125	538153	538277
152000at5125	538278	538700
152006at5125	538701	539093
152012at5125	539094	539485
152023at5125	539486	540521
152034at5125	540522	540900
152046at5125	540901	542402
152057at5125	542403	542800
152071at5125	542801	543344
152081at5125	543345	544492
152092at5125	544493	544657
152107at5125	544658	544937
152116at5125	544938	545813
152125at5125	545814	546465
152161at5125	546466	546813
152172at5125	546814	547620
152179at5125	547621	548030
152195at5125	548031	548808
152196at5125	548809	549072
152202at5125	549073	550570
152211at5125	550571	551145
152222at5125	551146	551560
152227at5125	551561	551941
152242at5125	551942	553082
152244at5125	553083	553336
152260at5125	553337	553630
152261at5125	553631	554382
152266at5125	554383	554959
152289at5125	554960	555348
152322at5125	555349	555892
152327at5125	555893	556266
152343at5125	556267	556576
152348at5125	556577	556867
152349at5125	556868	557250
152352at5125	557251	557559
152373at5125	557560	558215
152393at5125	558216	558648
152397at5125	558649	558880
152424at5125	558881	559544
152438at5125	559545	559933
152454at5125	559934	560042
152456at5125	560043	560433
152467at5125	560434	560751
152523at5125	560752	560962
152551at5125	560963	561072
152555at5125	561073	561384
152589at5125	561385	561863
152595at5125	561864	562701
152649at5125	562702	562993
152659at5125	562994	563390
152690at5125	563391	563620
15273at5125	563621	565988
152758at5125	565989	566552
1531at5125	566553	566776
153258at5125	566777	567682
154892at5125	567683	567792
154938at5125	567793	567895
154949at5125	567896	568216
155010at5125	568217	568288
155052at5125	568289	568448
155071at5125	568449	568857
155075at5125	568858	569028
155084at5125	569029	569218
155115at5125	569219	569794
155151at5125	569795	569969
155176at5125	569970	570345
155231at5125	570346	570763
155322at5125	570764	571067
155349at5125	571068	571349
155402at5125	571350	571470
155438at5125	571471	571992
155446at5125	571993	572139
155453at5125	572140	572372
155476at5125	572373	572541
155530at5125	572542	572766
155682at5125	572767	573111
155744at5125	573112	573321
155745at5125	573322	573488
155764at5125	573489	573680
155846at5125	573681	573791
155853at5125	573792	574239
155934at5125	574240	574509
155969at5125	574510	574917
155994at5125	574918	575006
155998at5125	575007	575563
156019at5125	575564	575920
156042at5125	575921	576095
156052at5125	576096	576283
156063at5125	576284	576824
156070at5125	576825	577272
15613at5125	577273	577516
156142at5125	577517	577698
156263at5125	577699	577902
156336at5125	577903	578411
156353at5125	578412	578608
156424at5125	578609	578759
156446at5125	578760	579235
156448at5125	579236	579577
156459at5125	579578	579838
156460at5125	579839	580322
156487at5125	580323	580627
156493at5125	580628	580819
156506at5125	580820	581130
156541at5125	581131	581750
156580at5125	581751	582047
156597at5125	582048	583026
156601at5125	583027	583210
156607at5125	583211	583416
156648at5125	583417	584559
156680at5125	584560	584901
156754at5125	584902	585314
156767at5125	585315	585633
156795at5125	585634	586318
156876at5125	586319	586817
156919at5125	586818	587441
157037at5125	587442	587617
157079at5125	587618	587821
157088at5125	587822	588425
157125at5125	588426	588612
157168at5125	588613	588720
157199at5125	588721	589617
157200at5125	589618	590153
157214at5125	590154	590772
157308at5125	590773	591038
157320at5125	591039	591377
157326at5125	591378	591577
157343at5125	591578	591740
157348at5125	591741	592143
157356at5125	592144	592433
157399at5125	592434	592687
157425at5125	592688	593303
157510at5125	593304	593742
157540at5125	593743	593917
157566at5125	593918	594313
157567at5125	594314	594850
157569at5125	594851	595544
157586at5125	595545	596520
157650at5125	596521	596782
157655at5125	596783	597100
157662at5125	597101	597599
157705at5125	597600	598523
157724at5125	598524	599685
157969at5125	599686	600328
158013at5125	600329	600844
158038at5125	600845	603905
158146at5125	603906	604917
158150at5125	604918	605235
158153at5125	605236	605345
158169at5125	605346	605554
158172at5125	605555	606036
158184at5125	606037	606155
158191at5125	606156	606448
158279at5125	606449	606947
158308at5125	606948	607165
158369at5125	607166	607334
158376at5125	607335	607596
158397at5125	607597	608068
158495at5125	608069	608555
158575at5125	608556	609791
158635at5125	609792	610546
158676at5125	610547	611026
158696at5125	611027	611582
158729at5125	611583	612783
158755at5125	612784	613468
158919at5125	613469	613896
158971at5125	613897	616107
159034at5125	616108	616932
159074at5125	616933	617438
159093at5125	617439	618490
159129at5125	618491	618949
159220at5125	618950	619871
159240at5125	619872	621031
159254at5125	621032	621214
159413at5125	621215	621527
159414at5125	621528	622697
159419at5125	622698	623332
159434at5125	623333	624291
159464at5125	624292	624492
159568at5125	624493	624963
159586at5125	624964	625488
159599at5125	625489	626061
159608at5125	626062	626269
159659at5125	626270	627258
159675at5125	627259	627598
159725at5125	627599	627850
159775at5125	627851	628422
159779at5125	628423	630202
159795at5125	630203	631727
159847at5125	631728	632501
159849at5125	632502	632980
159893at5125	632981	633363
159947at5125	633364	634303
159977at5125	634304	635041
160054at5125	635042	635822
160084at5125	635823	636082
160146at5125	636083	636483
160150at5125	636484	637061
160252at5125	637062	637249
160254at5125	637250	637894
160288at5125	637895	638256
160311at5125	638257	638644
160363at5125	638645	639080
160402at5125	639081	639586
160416at5125	639587	639932
160430at5125	639933	640336
160481at5125	640337	640560
160515at5125	640561	641040
160549at5125	641041	641827
160558at5125	641828	641912
160590at5125	641913	642686
160649at5125	642687	643156
160656at5125	643157	645254
160794at5125	645255	645818
160829at5125	645819	646490
160886at5125	646491	647529
160944at5125	647530	648472
160997at5125	648473	648908
161002at5125	648909	649446
161011at5125	649447	650283
161030at5125	650284	650821
161032at5125	650822	651494
161067at5125	651495	652073
161079at5125	652074	652474
161093at5125	652475	652636
161105at5125	652637	652846
161125at5125	652847	653996
161133at5125	653997	654247
161150at5125	654248	655061
161183at5125	655062	655249
161216at5125	655250	655861
161227at5125	655862	656172
161246at5125	656173	656706
161328at5125	656707	657223
161391at5125	657224	657982
161397at5125	657983	658458
161429at5125	658459	659254
161480at5125	659255	659997
161490at5125	659998	660818
161503at5125	660819	661349
161523at5125	661350	661858
161527at5125	661859	662155
161531at5125	662156	662478
161548at5125	662479	663266
161642at5125	663267	664014
161710at5125	664015	664543
161824at5125	664544	664902
161946at5125	664903	665456
161951at5125	665457	665954
162051at5125	665955	666786
162075at5125	666787	667346
162144at5125	667347	667862
162201at5125	667863	668320
162224at5125	668321	669035
162236at5125	669036	669582
162248at5125	669583	670186
162354at5125	670187	670540
162355at5125	670541	670920
162375at5125	670921	672121
162432at5125	672122	672419
162479at5125	672420	672900
162488at5125	672901	673135
162501at5125	673136	673882
162504at5125	673883	674334
162562at5125	674335	675089
162575at5125	675090	675518
162618at5125	675519	676070
