#                                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
38229at5125_1080343_0:001a78|CM010335.1:3337311-3339344|+ -            594 38229                -            584         0 1096.2   0.0   1   1         0         0 1096.0   0.0     7   584    10   592     4   592 0.97 <unknown description>
38229at5125_660025_0:004309|QESU01000094.1:26944-28135|-  -            344 38229                -            584  2.4e-194  637.6   4.4   1   1    1e-192    1e-192  632.2   4.4   253   578     1   344     1   344 0.96 <unknown description>
38229at5125_1806559_0:001c47|CM010335.1:3338320-3339341|+ -            309 38229                -            584    3e-187  614.1   0.1   1   1  3.6e-187  3.6e-187  613.9   0.1   281   584     6   308     3   308 0.99 <unknown description>
38229at5125_96774_0:0010fe|CM010335.1:3338546-3339341|+   -            250 38229                -            584  2.9e-161  528.3   0.1   1   1  3.2e-161  3.2e-161  528.2   0.1   336   584     1   249     1   249 0.99 <unknown description>
38229at5125_1567541_0:00311e|QESU01000094.1:26920-27716|- -            251 38229                -            584  1.9e-158  519.0   0.3   1   1  2.1e-158  2.1e-158  518.9   0.3   336   584     1   249     1   249 1.00 <unknown description>
38229at5125_1567541_0:00311e|QESU01000057.1:90408-91204|+ -            251 38229                -            584  3.2e-158  518.3   0.2   1   1  3.6e-158  3.6e-158  518.1   0.2   336   584     1   249     1   249 1.00 <unknown description>
38229at5125_1567541_0:00311e|QESU01000452.1:90408-91204|+ -            251 38229                -            584  3.2e-158  518.3   0.2   1   1  3.6e-158  3.6e-158  518.1   0.2   336   584     1   249     1   249 1.00 <unknown description>
38229at5125_660025_0:003fc5|QESU01000094.1:26920-27421|-  -            168 38229                -            584  4.7e-103  336.1   0.0   1   1  5.3e-103  5.3e-103  335.9   0.0   419   584     1   166     1   166 1.00 <unknown description>
38229at5125_660025_0:003fc5|QESU01000057.1:90703-91204|+  -            168 38229                -            584  7.1e-103  335.5   0.1   1   1  7.9e-103  7.9e-103  335.4   0.1   419   584     1   166     1   166 1.00 <unknown description>
38229at5125_660025_0:003fc5|QESU01000452.1:90703-91204|+  -            168 38229                -            584  7.1e-103  335.5   0.1   1   1  7.9e-103  7.9e-103  335.4   0.1   419   584     1   166     1   166 1.00 <unknown description>
38229at5125_660025_0:00438a|QESU01000057.1:90074-90594|+  -            147 38229                -            584   6.2e-71  230.1   4.7   1   1   7.2e-71   7.2e-71  229.8   4.7   260   397     1   146     1   147 0.95 <unknown description>
38229at5125_660025_0:00438a|QESU01000452.1:90074-90594|+  -            147 38229                -            584   6.2e-71  230.1   4.7   1   1   7.2e-71   7.2e-71  229.8   4.7   260   397     1   146     1   147 0.95 <unknown description>
38229at5125_660025_0:00438a|QESU01000094.1:27530-28050|-  -            157 38229                -            584   1.1e-68  222.6   9.2   1   1     9e-67     9e-67  216.3   9.2   260   397     1   156     1   157 0.92 <unknown description>
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/38229at5125.hmm
# Target file:     /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/38229at5125.faa
# Option settings: hmmsearch --domtblout /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/hmmer_output/38229at5125.out --cpu 1 /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/38229at5125.hmm /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/38229at5125.faa 
# Current dir:     /home/arafat/Foxy_SIX_Evolution
# Date:            Thu Sep 24 13:03:56 2026
# [ok]
