Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Organism Infraspecific Names Isolate	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Isolate	Assembly BioSample Host	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly Level	Assembly Sequencing Tech	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50
GCA_009297885.1	Fusarium oxysporum	RBG6417		SAMN12869120	RBG6417		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	51843622	5340	36698
GCA_009297915.1	Fusarium oxysporum	RBG6462		SAMN12869136	RBG6462		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq; Oxford nanopore	50332475	4614	32158
GCA_009297925.1	Fusarium oxysporum	RBG6444		SAMN12869132	RBG6444		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	54435880	9085	105177
GCA_009297935.1	Fusarium oxysporum	RBG6433		SAMN12869130	RBG6433		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	53684448	6441	43384
GCA_009297945.1	Fusarium oxysporum	RBG6450		SAMN12869134	RBG6450		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	48610181	5755	94124
GCA_009297985.1	Fusarium oxysporum	RBG6429		SAMN12869128	RBG6429		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	49503503	7453	34325
GCA_009297995.1	Fusarium oxysporum	RBG6423		SAMN12869126	RBG6423		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq; Oxford nanopore	60702881	9155	31584
GCA_009298035.1	Fusarium oxysporum	RBG6464		SAMN12869137	RBG6464		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	56212828	11735	29695
GCA_009298045.1	Fusarium oxysporum	RBG6466		SAMN12869138	RBG6466		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	49319817	4619	64710
GCA_009298065.1	Fusarium oxysporum	RBG6475		SAMN12869139	RBG6475		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	59106953	7651	21579
GCA_009298075.1	Fusarium oxysporum	RBG6499		SAMN12869143	RBG6499		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	52343931	8772	56035
GCA_009298085.1	Fusarium oxysporum	RBG6477		SAMN12869140	RBG6477		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq; Oxford nanopore	49379602	7838	28333
GCA_009298125.1	Fusarium oxysporum	RBG6442		SAMN12869131	RBG6442		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	52298848	8036	61556
GCA_009298145.1	Fusarium oxysporum	RBG6406		SAMN12869118	RBG6406		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	63062610	23217	37261
GCA_009298175.1	Fusarium oxysporum	RBG6494		SAMN12869142	RBG6494		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	50599981	7564	52720
GCA_009298195.1	Fusarium oxysporum	RBG6480		SAMN12869141	RBG6480		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	55785484	7934	23400
GCA_009298205.1	Fusarium oxysporum	RBG7064		SAMN12869146	RBG7064		Citrullus lanatus	Australia	2017	Contig	Illumina HiSeq	51166711	9049	50386
GCA_009298235.1	Fusarium oxysporum	RBG6454		SAMN12869135	RBG6454		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	53027132	12368	56106
GCA_009298245.1	Fusarium oxysporum	RBG6503		SAMN12869144	RBG6503		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	52046444	5720	30585
GCA_009298275.1	Fusarium oxysporum	VPRI11235		SAMN12869154	VPRI11235		Begonia sp.	Australia	1981	Contig	Illumina HiSeq	50362541	4901	239907
GCA_009298285.1	Fusarium oxysporum	VPRI10605		SAMN12869153	VPRI10605		Hyacinthus orientalis	Australia	1978	Scaffold	Illumina HiSeq	51386023	3021	141793
GCA_009298295.1	Fusarium oxysporum	VPRI10405		SAMN12869151	VPRI10405		Triticum aestivum	Australia	1971	Contig	Illumina HiSeq	52131221	4639	164960
GCA_009298305.1	Fusarium oxysporum	VPRI11762		SAMN12869157	VPRI11762		Dianthus caryophyllus	Australia	1982	Contig	Illumina HiSeq	47512850	892	200910
GCA_009298315.1	Fusarium oxysporum	VPRI10408		SAMN12869152	VPRI10408		Solanum tuberosum	Australia	1962	Contig	Illumina HiSeq	49086552	3187	102069
GCA_009298335.1	Fusarium oxysporum	VPRI10403		SAMN12869150	VPRI10403		Triticum aestivum	Australia	1970	Scaffold	Illumina HiSeq	48049784	1490	169236
GCA_009298395.1	Fusarium oxysporum	VPRI10351		SAMN12869148	VPRI10351		Glycine max	Australia	1976	Contig	Illumina HiSeq	47738081	2962	151313
GCA_009298405.1	Fusarium oxysporum	VPRI10358		SAMN12869149	VPRI10358		Dianthus caryophyllus	Australia	1976	Scaffold	Illumina HiSeq	53849382	5511	117367
GCA_009298435.1	Fusarium oxysporum	RBG7070		SAMN12869147	RBG7070		Citrullus lanatus	Australia	2017	Contig	Illumina HiSeq	54116664	11791	23229
GCA_009298455.1	Fusarium oxysporum	VPRI17796		SAMN12869164	VPRI17796		Atriplex sp.	Australia	1992	Scaffold	Illumina HiSeq	50030358	2779	128142
GCA_009298465.1	Fusarium oxysporum	VPRI17577		SAMN12869163	VPRI17577		Linum usitatissimum	Australia	1991	Contig	Illumina HiSeq	48319365	1626	213961
GCA_009298475.1	Fusarium oxysporum	RBG6505		SAMN12869145	RBG6505		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	54514335	12642	61863
GCA_009298495.1	Fusarium oxysporum	VPRI16963		SAMN12869162	VPRI16963		Solanum tuberosum	Australia	1990	Contig	Illumina HiSeq	49565463	3454	103213
GCA_009298505.1	Fusarium oxysporum	VPRI16234		SAMN12869160	VPRI16234		Solanum tuberosum	Australia	1989	Scaffold	Illumina HiSeq	54506962	5787	82765
GCA_009298515.1	Fusarium oxysporum	VPRI13039		SAMN12869159	VPRI13039		Capsicum annuum	Australia	1985	Scaffold	Illumina HiSeq	51333920	4935	160115
GCA_009298545.1	Fusarium oxysporum	VPRI12300		SAMN12869158	VPRI12300		Solanum tuberosum	Australia	1984	Scaffold	Illumina HiSeq	54149749	4288	205692
GCA_009298555.1	Fusarium oxysporum	VPRI11409		SAMN12869155	VPRI11409		not collected	Australia	1981	Scaffold	Illumina HiSeq	53414992	7722	63771
GCA_009298615.1	Fusarium oxysporum	VPRI41778		SAMN12869175	VPRI41778		Aloe x spinosissima	Australia	2010	Contig	Illumina HiSeq	54042605	6155	123641
GCA_009298635.1	Fusarium oxysporum	VPRI41208		SAMN12869174	VPRI41208		Phoenix canariensis	Australia	2005	Contig	Illumina HiSeq	46106373	1929	159994
GCA_009298645.1	Fusarium oxysporum	VPRI41836		SAMN12869176	VPRI41836		Phaseolus vulgaris	Australia	2009	Contig	Illumina HiSeq	54529076	6179	125806
GCA_009298655.1	Fusarium oxysporum	VPRI42109		SAMN12869179	VPRI42109		Tibouchina sp.	Australia	2012	Contig	Illumina HiSeq	47966865	2063	162436
GCA_009298675.1	Fusarium oxysporum	VPRI41920		SAMN12869178	VPRI41920		Encephalartos ferox	Australia	2011	Contig	Illumina HiSeq	49937996	4233	39201
GCA_009298685.1	Fusarium oxysporum	VPRI32442		SAMN12869172	VPRI32442		Phoenix canariensis	Australia	2002	Contig	Illumina HiSeq	54914920	6771	42097
GCA_009298705.1	Fusarium oxysporum	VPRI41207		SAMN12869173	VPRI41207		Phoenix canariensis	Australia	2005	Contig	Illumina HiSeq	46891011	2808	130874
GCA_009298715.1	Fusarium oxysporum	VPRI32441		SAMN12869171	VPRI32441		Phoenix canariensis	Australia	2002	Contig	Illumina HiSeq	46250468	3584	179855
GCA_009298745.1	Fusarium oxysporum	VPRI32288		SAMN12869169	VPRI32288		Phoenix canariensis	Australia	2005	Contig	Illumina HiSeq	46901939	1495	231031
GCA_009298755.1	Fusarium oxysporum	VPRI32287		SAMN12869168	VPRI32287		Phoenix canariensis	Australia	2005	Contig	Illumina HiSeq	45415676	2446	267466
GCA_009298805.1	Fusarium oxysporum	VPRI32264		SAMN12869167	VPRI32264		Solanum lycopersicum	Australia	2005	Scaffold	Illumina HiSeq	54628388	6150	83046
GCA_009298825.1	Fusarium oxysporum	VPRI19293		SAMN12869165	VPRI19293		Dianthus caryophyllus	Australia	1990	Scaffold	Illumina HiSeq	52513135	3359	192041
GCA_009298845.1	Fusarium oxysporum	VPRI31638		SAMN12869166	VPRI31638		Lupin albus	Australia	2003	Scaffold	Illumina HiSeq	53612201	4145	197942
GCA_009298855.1	Fusarium oxysporum	VPRI16235		SAMN12869161	VPRI16235		Solanum tuberosum	Australia	1989	Contig	Illumina HiSeq	55365146	7972	84175
GCA_009298875.1	Fusarium oxysporum	VPRI11681		SAMN12869156	VPRI11681		Solanum lycopersicum	Australia	1982	Contig	Illumina HiSeq	50154860	10624	29815
GCA_009298915.1	Fusarium oxysporum	VPRI42882		SAMN12869194	VPRI42882		Juglans regia	Australia	2017	Contig	Illumina HiSeq	51123241	3786	39190
GCA_009298925.1	Fusarium oxysporum	VPRI42339		SAMN12869191	VPRI42339		Phoenix canariensis	Australia	2014	Contig	Illumina HiSeq	56698362	3249	144067
GCA_009298935.1	Fusarium oxysporum	VPRI42760		SAMN12869193	VPRI42760		Zea mays	Australia	2016	Contig	Illumina HiSeq	51159788	2073	191659
GCA_009298945.1	Fusarium oxysporum	VPRI42253		SAMN12869189	VPRI42253		Pinus	Australia	2013	Contig	Illumina HiSeq	48717784	1101	169586
GCA_009298955.1	Fusarium oxysporum	VPRI42252		SAMN12869188	VPRI42252		Pinus	Australia	2013	Contig	Illumina HiSeq	51706835	4801	32791
GCA_009298985.1	Fusarium oxysporum	VPRI42198		SAMN12869187	VPRI42198		Solanum tuberosum	Australia	2013	Scaffold	Illumina HiSeq	50425478	3245	103320
GCA_009299005.1	Fusarium oxysporum	VPRI42190		SAMN12869186	VPRI42190		missing	Australia	2013	Scaffold	Illumina HiSeq	50094163	2112	172150
GCA_009299025.1	Fusarium oxysporum	VPRI42181		SAMN12869185	VPRI42181		Solanum lycopersicum	Australia	2013	Contig	Illumina HiSeq	45797068	1976	152131
GCA_009299045.1	Fusarium oxysporum	VPRI42180		SAMN12869184	VPRI42180		Solanum lycopersicum	Australia	2013	Scaffold	Illumina HiSeq	52407697	6640	56104
GCA_009299075.1	Fusarium oxysporum	VPRI42176		SAMN12869183	VPRI42176		Schlumbergera truncata	Australia	2012	Contig	Illumina HiSeq	48027595	4898	36711
GCA_009299095.1	Fusarium oxysporum	VPRI42119		SAMN12869182	VPRI42119		missing	Australia	2012	Contig	Illumina HiSeq	55508457	5714	27324
GCA_009299115.1	Fusarium oxysporum	VPRI42118		SAMN12869181	VPRI42118		missing	Australia	2012	Scaffold	Illumina HiSeq	54223368	4829	169286
GCA_009299125.1	Fusarium oxysporum	VPRI42117		SAMN12869180	VPRI42117		missing	Australia	2012	Contig	Illumina HiSeq; Oxford nanopore	49202833	3897	394882
GCA_009299135.1	Fusarium oxysporum	VPRI41884		SAMN12869177	VPRI41884		Nassella trichotoma	Russia	2011	Contig	Illumina HiSeq	52659765	4931	137139
GCA_009299155.1	Fusarium oxysporum	VPRI43193		SAMN12869197	VPRI43193		Phoenix canariensis	Australia	2017	Contig	Illumina HiSeq	51140018	6063	102472
GCA_009299175.1	Fusarium oxysporum	VPRI42889		SAMN12869196	VPRI42889		Phaseolus vulgaris	Australia	2017	Scaffold	Illumina HiSeq	49782841	2964	176598
GCA_009299195.1	Fusarium oxysporum	VPRI42888		SAMN12869195	VPRI42888		Malus pumila	Australia	2017	Contig	Illumina HiSeq	52325364	5155	108005
GCA_009299215.1	Fusarium oxysporum	VPRI42420		SAMN12869192	VPRI42420		Phoenix canariensis	Australia	2014	Scaffold	Illumina HiSeq	53168674	5374	169594
GCA_009299235.1	Fusarium oxysporum	VPRI42327		SAMN12869190	VPRI42327		Phoenix canariensis	Australia	2013	Contig	Illumina HiSeq	55451260	7345	25894
GCA_009299255.1	Fusarium oxysporum	VPRI43194		SAMN12869199	VPRI43194		Phoenix canariensis	Australia	2017	Contig	Illumina HiSeq	50305615	3931	35994
GCA_009299295.1	Fusarium oxysporum	VPRI43195		SAMN12869198	VPRI43195		Phoenix canariensis	Australia	2017	Scaffold	Illumina HiSeq	49892518	2844	149752
GCA_009299335.1	Fusarium oxysporum	VPRI32289		SAMN12869170	VPRI32289		Phoenix canariensis	Australia	2005	Contig	Illumina HiSeq	57921869	24336	131776
GCA_009746015.2	Fusarium oxysporum	MRL8996		SAMN12285937	MRL8996		Homo sapiens	USA: Ohio	2006	Chromosome	Oxford Nanopore MinION	52321866	19	4819956
GCA_011032855.1	Fusarium oxysporum	EtdFoc-10		SAMN07710966	EtdFoc-10		Cicer arietinum	Ethiopia: Chelenko Lola	2015	Scaffold	Illumina	54529818	2541	242783
GCA_011032885.1	Fusarium oxysporum	EtdFoc-1		SAMN07710965	EtdFoc-1		Cicer arietinum	Ethiopia: Alemaya	2015	Scaffold	Illumina	58996620	4822	39821
GCA_011033375.1	Fusarium oxysporum	EtdFoc-158		SAMN07711011	EtdFoc-158		Cicer arietinum	Ethiopia: Gerbicha	2015	Scaffold	Illumina	52123778	3046	103119
GCA_011033455.1	Fusarium oxysporum	EtdFoc-136		SAMN07710997	EtdFoc-136		Cicer arietinum	Ethiopia: Ejere Welkitie	2015	Scaffold	Illumina	54335896	6558	15095
GCA_011033475.1	Fusarium oxysporum	EtdFoc-13		SAMN07710993	EtdFoc-13		Cicer arietinum	Ethiopia: Ifabelem	2015	Scaffold	Illumina	53295697	3363	531438
GCA_011033485.1	Fusarium oxysporum	EtdFoc-109		SAMN07710973	EtdFoc-109		Cicer arietinum	Ethiopia: Jihur	2015	Scaffold	Illumina	53408067	5408	19188
GCA_011033505.1	Fusarium oxysporum	EtdFoc-102		SAMN07710968	EtdFoc-102		Cicer arietinum	Ethiopia: Adaw Gore	2015	Scaffold	Illumina	54554461	14543	8129
GCA_011033535.1	Fusarium oxysporum	EtdFoc-160		SAMN07711014	EtdFoc-160		Cicer arietinum	Ethiopia: Gichie	2015	Scaffold	Illumina	54307985	5280	155780
GCA_011033555.1	Fusarium oxysporum	EtdFoc-16		SAMN07711013	EtdFoc-16		Cicer arietinum	Ethiopia: Lubudhekeb	2015	Scaffold	Illumina	58314218	6053	23756
GCA_011033575.1	Fusarium oxysporum	EtdFoc-113		SAMN07710976	EtdFoc-113		Cicer arietinum	Ethiopia: Abichu	2015	Scaffold	Illumina	61091223	24965	5872
GCA_011033645.1	Fusarium oxysporum	EtdFoc-174		SAMN07711018	EtdFoc-174		Cicer arietinum	Ethiopia: Mitichole	2015	Scaffold	Illumina	52739343	26076	3071
GCA_011033665.1	Fusarium oxysporum	EtdFoc-17		SAMN07711017	EtdFoc-17		Cicer arietinum	Ethiopia: Lubudhekeb	2015	Scaffold	Illumina	63082028	28172	3409
GCA_011033685.1	Fusarium oxysporum	EtdFoc-139		SAMN07711000	EtdFoc-139		Cicer arietinum	Ethiopia: Bililgn	2015	Scaffold	Illumina	50230158	34691	1974
GCA_011033715.1	Fusarium oxysporum	EtdFoc-193		SAMN07711036	EtdFoc-193		Cicer arietinum	Ethiopia: Lesalso	2015	Scaffold	Illumina	60793687	7360	15448
GCA_011033745.1	Fusarium oxysporum	EtdFoc-190		SAMN07711033	EtdFoc-190		Cicer arietinum	Ethiopia: Lalabla	2015	Scaffold	Illumina	62653376	6544	25926
GCA_011033765.1	Fusarium oxysporum	EtdFoc-19		SAMN07711032	EtdFoc-19		Cicer arietinum	Ethiopia: Terkafeta	2015	Scaffold	Illumina	59206822	2635	89931
GCA_011033805.1	Fusarium oxysporum	EtdFoc-185		SAMN07711028	EtdFoc-185		Cicer arietinum	Ethiopia: Afasash	2015	Scaffold	Illumina	59054286	4975	24437
GCA_011033815.1	Fusarium oxysporum	EtdFoc-183		SAMN07711026	EtdFoc-183		Cicer arietinum	Ethiopia: Jenetuber	2015	Scaffold	Illumina	56201877	6921	118969
GCA_011033835.1	Fusarium oxysporum	EtdFoc-22		SAMN07711055	EtdFoc-22		Cicer arietinum	Ethiopia: Lugo	2015	Scaffold	Illumina	50688263	1205	403909
GCA_011033875.1	Fusarium oxysporum	EtdFoc-218		SAMN07711053	EtdFoc-218		Cicer arietinum	Ethiopia: Ketefo	2015	Scaffold	Illumina	52975615	2041	190273
GCA_011033885.1	Fusarium oxysporum	EtdFoc-219		SAMN07711054	EtdFoc-219		Cicer arietinum	Ethiopia: Fugie	2015	Scaffold	Illumina	52433913	1879	207799
GCA_011033895.1	Fusarium oxysporum	EtdFoc-216		SAMN07711052	EtdFoc-216		Cicer arietinum	Ethiopia: Maytsede	2015	Scaffold	Illumina	52471005	2029	209531
GCA_011033955.1	Fusarium oxysporum	EtdFoc-204		SAMN07711045	EtdFoc-204		Cicer arietinum	Ethiopia: Madirash	2015	Scaffold	Illumina	60506034	4133	47654
GCA_011033985.1	Fusarium oxysporum	EtdFoc-203		SAMN07711044	EtdFoc-203		Cicer arietinum	Ethiopia: Adigdad	2015	Scaffold	Illumina	55449268	2927	136957
GCA_011033995.1	Fusarium oxysporum	EtdFoc-2		SAMN07711041	EtdFoc-2		Cicer arietinum	Ethiopia: Gobe Selama	2015	Scaffold	Illumina	52751037	12453	6647
GCA_011034025.1	Fusarium oxysporum	EtdFoc-198		SAMN07711039	EtdFoc-198		Cicer arietinum	Ethiopia: Adura	2015	Scaffold	Illumina	63494387	12047	12847
GCA_011034045.1	Fusarium oxysporum	EtdFoc-18		SAMN07711023	EtdFoc-18		Cicer arietinum	Ethiopia: Terkafeta	2015	Scaffold	Illumina	45336994	29471	2196
GCA_011034075.1	Fusarium oxysporum	EtdFoc-243		SAMN07711069	EtdFoc-243		Cicer arietinum	Ethiopia: Debrezt	2015	Scaffold	Illumina	57855706	6780	43853
GCA_011034105.1	Fusarium oxysporum	EtdFoc-236		SAMN07711065	EtdFoc-236		Cicer arietinum	Ethiopia: Y/Campas	2015	Scaffold	Illumina	53907921	2149	219513
GCA_011034125.1	Fusarium oxysporum	EtdFoc-234		SAMN07711064	EtdFoc-234		Cicer arietinum	Ethiopia: Nora Awudard	2015	Scaffold	Illumina	52223926	1724	198207
GCA_011034135.1	Fusarium oxysporum	EtdFoc-233		SAMN07711063	EtdFoc-233		Cicer arietinum	Ethiopia: Laysek	2015	Scaffold	Illumina	56829826	5897	78153
GCA_011034155.1	Fusarium oxysporum	EtdFoc-23		SAMN07711062	EtdFoc-23		Cicer arietinum	Ethiopia: Hature Selale	2015	Scaffold	Illumina	53362244	2138	205447
GCA_011034195.1	Fusarium oxysporum	EtdFoc-229		SAMN07711061	EtdFoc-229		Cicer arietinum	Ethiopia: Tsegur Eyesus	2015	Scaffold	Illumina	52558998	2985	53720
GCA_011034205.1	Fusarium oxysporum	EtdFoc-228		SAMN07711060	EtdFoc-228		Cicer arietinum	Ethiopia: Awrajit	2015	Scaffold	Illumina	54462218	19175	4728
GCA_011034225.1	Fusarium oxysporum	EtdFoc-223		SAMN07711059	EtdFoc-223		Cicer arietinum	Ethiopia: Soyoma	2015	Scaffold	Illumina	53566557	2138	189179
GCA_011034265.1	Fusarium oxysporum	EtdFoc-221		SAMN07711057	EtdFoc-221		Cicer arietinum	Ethiopia: Bugie	2015	Scaffold	Illumina	53616532	3188	70021
GCA_011034275.1	Fusarium oxysporum	EtdFoc-213		SAMN07711049	EtdFoc-213		Cicer arietinum	Ethiopia: Maymegerta	2015	Scaffold	Illumina	52490317	10003	9044
GCA_011034375.1	Fusarium oxysporum	EtdFoc-250		SAMN07711074	EtdFoc-250		Cicer arietinum	Ethiopia: Rogicha	2015	Scaffold	Illumina	62787317	12540	11144
